city,district,street,rooms,size,level,max_levels,floor_state,price_m2,price,lat,lng
Tashkent,Chilonzor, Чиланзар-16,1,42.0,3,9,o'rta qavat,666,28000,41.274633,69.200587
Tashkent,Chilonzor,,2,60.0,5,9,o'rta qavat,566,34000,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар-6,1,32.0,2,5,o'rta qavat,890,28500,41.2857552,69.2117625
Tashkent,Chilonzor, Чиланзар,1,42.0,2,5,o'rta qavat,678,28500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар,2,60.0,2,9,o'rta qavat,575,34500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар,2,54.0,1,4,1-qavat,638,34500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар-9,1,42.0,1,5,1-qavat,607,25500,41.2901628,69.1968618
Tashkent,Chilonzor, Чиланзар,2,60.0,2,9,o'rta qavat,725,43500,41.259418,69.1804708
Tashkent,Mirobod, Афросиаб (пр-т Косманавтов) ,2,72.0,7,9,o'rta qavat,875,63000,41.3051824,69.2638823
Tashkent,Yashnobod, Городок Авиастроителей-4,3,80.0,1,4,1-qavat,499,39999,41.2922516,69.3419071
Tashkent,Chilonzor, Кошчинар,1,33.0,2,4,o'rta qavat,742,24500,41.2780874,69.2060703
Tashkent,Yunusobod, Улица Янги Юнусобод,2,61.0,3,5,o'rta qavat,672,41000,41.3693331,69.3101022
Tashkent,Mirzo Ulug‘bek, Карасу 1-й квартал,2,63.0,5,5,oxirgi qavat,571,36000,41.3375577,69.3726789
Tashkent,Olmazor, Себзар,2,60.0,5,5,oxirgi qavat,566,34000,41.3333453,69.2475235
Tashkent,Chilonzor, Торговый центр,1,29.0,2,4,o'rta qavat,793,23000,41.2830467,69.2222748
Tashkent,Mirzo Ulug‘bek, Карасу 2-й квартал,2,63.0,5,5,oxirgi qavat,571,36000,41.3318205,69.3644846
Tashkent,Uchtepa, Чиланзар 26-й квартал,2,48.0,4,5,o'rta qavat,593,28500,41.2771751,69.1789807
Tashkent,Chilonzor, Корзинка,2,45.0,4,4,oxirgi qavat,1044,47000,41.262123,69.1647666
Tashkent,Olmazor, обводная  Нурафшон,4,122.0,5,5,oxirgi qavat,778,95000,41.3390184,69.2261213
Tashkent,Yunusobod, Киёт,1,42.0,2,4,o'rta qavat,1047,44000,41.3245206,69.2773236
Tashkent,Mirzo Ulug‘bek, Шастри,2,50.0,1,4,1-qavat,900,45000,41.3137673,69.2910424
Tashkent,Mirzo Ulug‘bek, Феруза-1,5,100.0,4,4,oxirgi qavat,480,48000,41.3550649,69.3585936
Tashkent,Mirzo Ulug‘bek, Буюк Ипак йули (Луначарское) ,2,60.0,4,4,oxirgi qavat,533,32000,41.314662,69.293391
Tashkent,Yakkasaroy, Шота Руставели,2,50.0,2,4,o'rta qavat,940,47000,41.2911414,69.2601933
Tashkent,Mirzo Ulug‘bek, Дархан,3,78.0,5,9,o'rta qavat,903,70500,41.3200874,69.3013967
Tashkent,Mirzo Ulug‘bek, Хумаюн,2,60.0,3,5,o'rta qavat,508,30500,41.3427418,69.3875774
Tashkent,Chilonzor, Чиланзар,1,42.0,2,4,o'rta qavat,619,26000,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар-6,3,70.0,4,4,oxirgi qavat,535,37500,41.2857552,69.2117625
Tashkent,Chilonzor, Метро Мирзо Улугбек,1,35.0,1,5,1-qavat,757,26500,41.2829101,69.2116463
Tashkent,Chilonzor, Чиланзар-7,2,47.0,2,4,o'rta qavat,680,32000,41.2948119,69.2087824
Tashkent,Chilonzor, Чиланзар,1,36.0,2,5,o'rta qavat,736,26500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар-10,2,50.0,2,5,o'rta qavat,690,34500,41.2829494,69.1968618
Tashkent,Chilonzor, Чиланзар-6,2,52.0,2,4,o'rta qavat,701,36500,41.2857552,69.2117625
Tashkent,Yashnobod, Оханграбо,2,46.0,2,4,o'rta qavat,532,24500,41.2535107,69.3437258
Tashkent,Chilonzor, Чиланзар-8,3,92.0,3,9,o'rta qavat,461,42500,41.2894422,69.2058023
Tashkent,Chilonzor, Чиланзар,3,70.0,1,4,1-qavat,657,46000,41.259418,69.1804708
Tashkent,Yunusobod, Юнусабад 13-й квартал,3,70.0,2,4,o'rta qavat,550,38500,41.3692799,69.2981832
Tashkent,Mirzo Ulug‘bek, Паркентская (Генерала Петрова) ,2,60.0,7,8,o'rta qavat,600,36000,41.31512,69.3234929
Tashkent,Mirzo Ulug‘bek, Буз 2,2,55.0,3,5,o'rta qavat,636,35000,41.319567,69.3246635
Tashkent,Mirzo Ulug‘bek, Паркентская (Генерала Петрова) ,2,63.0,4,9,o'rta qavat,880,55500,41.31512,69.3234929
Tashkent,Yakkasaroy, Бабура,2,89.0,4,12,o'rta qavat,918,81772,41.2818558,69.2552666
Tashkent,Yakkasaroy, Бабура,1,55.0,1,12,1-qavat,918,50533,41.2818558,69.2552666
Tashkent,Mirzo Ulug‘bek, Ул.Кора Ниязова,3,100.0,2,6,o'rta qavat,1190,119000,41.3292204,69.3473509
Tashkent,Chilonzor, Учтепинский район массив Чиланзар 11-й квартал,1,35.0,1,4,1-qavat,680,23800,41.2770171,69.1909015
Tashkent,Chilonzor, Чиланзар 7-й квартал,2,44.0,3,4,o'rta qavat,747,32900,41.2948119,69.2087824
Tashkent,Yangi Hayot, Сергели 9а,2,61.0,3,7,o'rta qavat,590,36000,41.210633,69.2281531
Tashkent,Yashnobod, Массив Риёзи,4,100.0,2,9,o'rta qavat,650,65000,41.286283,69.3235123
Tashkent,Chilonzor, Чиланзар 8 квартал,1,35.0,1,4,1-qavat,851,29800,41.2894422,69.2058023
Tashkent,Mirzo Ulug‘bek, Газалкент,4,86.0,3,5,o'rta qavat,732,63000,41.3351692,69.3602729
Tashkent,Mirzo Ulug‘bek, Буюк Ипак йули (Луначарское) ,3,100.0,1,5,1-qavat,800,80000,41.314662,69.293391
Tashkent,Olmazor, 1-й проезд Чилтугон,5,110.0,5,5,oxirgi qavat,577,63500,41.3432641,69.2560774
Tashkent,Mirobod, ЦУМ (Ц-7) ,3,75.0,6,9,o'rta qavat,1466,110000,41.3086111,69.2691667
Tashkent,Olmazor," ц-17, ц-18 Себзар (ц-17, ц-18) ",3,70.0,1,5,1-qavat,885,62000,41.3333453,69.2475235
Tashkent,Shayxontohur, Караташ,3,70.0,4,5,o'rta qavat,528,36999,41.3141622,69.2368973
Tashkent,Sergeli, 6А,2,56.1,7,7,oxirgi qavat,659,37000,41.2304214,69.2117625
Tashkent,Yunusobod, Юнусабад 16-й квартал,4,83.0,3,5,o'rta qavat,650,54000,41.3825869,69.3019081
Tashkent,Uchtepa, Зангиота,2,49.0,4,4,oxirgi qavat,469,23000,41.2978921,69.1804708
Tashkent,Chilonzor, Чиланзар 8-й квартал,2,46.0,2,4,o'rta qavat,836,38500,41.2894422,69.2058023
Tashkent,Chilonzor, Чиланзар 8-й квартал,2,46.0,4,4,oxirgi qavat,786,36200,41.2894422,69.2058023
